group,n,base_rate,mean_pred,flagged_rate,recall,fpr,precision,auc
[70-80),3606,0.1048252911813644,0.10002341078694632,0.13616195230171935,0.30952380952380953,0.11586121437422553,0.23828920570264767,0.6594673426302917
[60-70),3125,0.08768,0.08942269498043424,0.09088,0.20802919708029197,0.0796211855489302,0.2007042253521127,0.6139912490687094
[50-60),2466,0.07907542579075426,0.07514873607639794,0.05961070559610705,0.19487179487179487,0.0479964773227653,0.2585034013605442,0.6603789136153734
[80-90),2239,0.10183117463153193,0.1069491833253141,0.1460473425636445,0.32894736842105265,0.1253107906514172,0.22935779816513763,0.6443333595051777
[40-50),1352,0.0695266272189349,0.0740659125364157,0.05621301775147929,0.1702127659574468,0.04769475357710652,0.21052631578947367,0.6125900619017015
[30-40),537,0.06517690875232775,0.06990247096185313,0.061452513966480445,0.22857142857142856,0.049800796812749,0.24242424242424243,0.7198634035287422
[90-100),331,0.09969788519637462,0.09791236335575325,0.06948640483383686,0.21212121212121213,0.053691275167785234,0.30434782608695654,0.6469900345739272
[20-30),204,0.07352941176470588,0.07092231761534473,0.06862745098039216,0.3333333333333333,0.047619047619047616,0.35714285714285715,0.7395061728395063
[10-20),109,0.045871559633027525,0.056371675158161785,0.05504587155963303,0.2,0.04807692307692308,0.16666666666666666,0.7336538461538461
[0-10),29,0.0,0.03586158537958748,0.0,0.0,0.0,0.0,
